       NumberOfDisks            Recursive            Iterative 
                   1             15051613              2038070
                   2                18002                20256
                   3                30663                34047
                   4                63163                62070
                   5                93492               116089
                   6               223124               241592
                   7               342690               352227
                   8               437591               298112
                   9               364625               435312
                  10               447921               648100
                  11               546464               915100
                  12              1535915              1316758
                  13              1712026              2470337
                  14              3312429              5116167
                  15              2748728              4982751
                  16             12560853              4878442
                  17              8774787             13175461
